2009.06.17,04:30,1.38490,1.38520,1.38420,1.38470,101
2009.06.17,04:45,1.38460,1.38490,1.38380,1.38430,91
2009.06.17,05:00,1.38420,1.38430,1.38350,1.38390,80
2009.06.17,05:15,1.38380,1.38440,1.38370,1.38440,67
2009.06.17,05:30,1.38430,1.38580,1.38430,1.38580,78
2009.06.17,05:45,1.38590,1.38710,1.38590,1.38650,113
2009.06.17,06:00,1.38660,1.38790,1.38650,1.38770,94
2009.06.17,06:15,1.38760,1.38780,1.38670,1.38720,89
2009.06.17,06:30,1.38710,1.38780,1.38590,1.38630,146
2009.06.17,06:45,1.38640,1.38660,1.38620,1.38630,60
2009.06.17,07:00,1.38620,1.38730,1.38560,1.38730,74
2009.06.17,07:15,1.38720,1.38830,1.38650,1.38820,108
2009.06.17,07:30,1.38830,1.38900,1.38790,1.38870,151
2009.06.17,07:45,1.38860,1.38920,1.38790,1.38790,124
2009.06.17,08:00,1.38800,1.38970,1.38780,1.38930,128
2009.06.17,08:15,1.38940,1.39120,1.38930,1.39100,156
2009.06.17,08:30,1.39110,1.39220,1.39040,1.39070,246
2009.06.17,08:45,1.39080,1.39260,1.39030,1.39140,289
2009.06.17,09:00,1.39150,1.39150,1.38900,1.38930,247
2009.06.17,09:15,1.38940,1.39070,1.38940,1.39030,213
2009.06.17,09:30,1.39020,1.39140,1.39010,1.39080,196
2009.06.17,09:45,1.39090,1.39210,1.38960,1.38960,208
2009.06.17,10:00,1.38950,1.38960,1.38710,1.38820,215
2009.06.17,10:15,1.38800,1.38850,1.38720,1.38800,204
2009.06.17,10:30,1.38810,1.38920,1.38660,1.38740,440
2009.06.17,10:45,1.38750,1.38750,1.38630,1.38670,173
2009.06.17,11:00,1.38660,1.38760,1.38620,1.38650,232
2009.06.17,11:15,1.38670,1.38740,1.38580,1.38660,186
2009.06.17,11:30,1.38650,1.38740,1.38590,1.38680,191
2009.06.17,11:45,1.38670,1.38810,1.38650,1.38750,255
2009.06.17,12:00,1.38760,1.38770,1.38530,1.38590,279
2009.06.17,12:15,1.38580,1.38700,1.38580,1.38660,183
2009.06.17,12:30,1.38650,1.38660,1.38510,1.38620,199
2009.06.17,12:45,1.38610,1.38640,1.38430,1.38490,213
2009.06.17,13:00,1.38480,1.38720,1.38470,1.38670,262
2009.06.17,13:15,1.38660,1.38700,1.38570,1.38630,201
2009.06.17,13:30,1.38620,1.38710,1.38510,1.38540,181
2009.06.17,13:45,1.38550,1.38600,1.38210,1.38260,293
2009.06.17,14:00,1.38270,1.38360,1.38240,1.38360,238
2009.06.17,14:15,1.38370,1.38450,1.38320,1.38420,212
2009.06.17,14:30,1.38430,1.38660,1.38410,1.38640,571
2009.06.17,14:45,1.38620,1.38960,1.38610,1.38860,431
2009.06.17,15:00,1.38850,1.38860,1.38660,1.38780,276
2009.06.17,15:15,1.38790,1.38830,1.38630,1.38810,266
2009.06.17,15:30,1.38820,1.38950,1.38740,1.38780,304
2009.06.17,15:45,1.38770,1.38860,1.38640,1.38700,369
2009.06.17,16:00,1.38660,1.38740,1.38590,1.38650,295
2009.06.17,16:15,1.38660,1.38710,1.38550,1.38610,268
2009.06.17,16:30,1.38620,1.38680,1.38460,1.38490,354
2009.06.17,16:45,1.38500,1.38640,1.38440,1.38630,274
2009.06.17,17:00,1.38640,1.38770,1.38440,1.38450,309
2009.06.17,17:15,1.38460,1.38720,1.38430,1.38650,266
2009.06.17,17:30,1.38640,1.38730,1.38550,1.38580,233
2009.06.17,17:45,1.38590,1.38600,1.38320,1.38480,345
2009.06.17,18:00,1.38490,1.38580,1.38460,1.38510,261
2009.06.17,18:15,1.38520,1.38810,1.38520,1.38700,173
2009.06.17,18:30,1.38710,1.38780,1.38680,1.38710,106
2009.06.17,18:45,1.38700,1.38720,1.38550,1.38680,129
2009.06.17,19:00,1.38690,1.38730,1.38630,1.38660,109
2009.06.17,19:15,1.38650,1.38760,1.38590,1.38760,121
2009.06.17,19:30,1.38770,1.39060,1.38750,1.39050,196
2009.06.17,19:45,1.39040,1.39160,1.38980,1.39070,175
2009.06.17,20:00,1.39080,1.39270,1.39070,1.39270,216
2009.06.17,20:15,1.39280,1.39780,1.39270,1.39760,402
2009.06.17,20:30,1.39750,1.39840,1.39530,1.39550,182
2009.06.17,20:45,1.39540,1.39670,1.39540,1.39630,181
2009.06.17,21:00,1.39640,1.39680,1.39570,1.39650,158
2009.06.17,21:15,1.39640,1.39650,1.39570,1.39590,143
2009.06.17,21:30,1.39580,1.39580,1.39450,1.39520,138
2009.06.17,21:45,1.39530,1.39580,1.39490,1.39500,122
2009.06.17,22:00,1.39510,1.39510,1.39400,1.39500,105
2009.06.17,22:15,1.39490,1.39520,1.39480,1.39490,89
2009.06.17,22:30,1.39500,1.39540,1.39410,1.39430,66
2009.06.17,22:45,1.39420,1.39460,1.39420,1.39430,68
2009.06.17,23:00,1.39420,1.39510,1.39410,1.39500,35
2009.06.17,23:15,1.39510,1.39520,1.39460,1.39480,41
2009.06.17,23:30,1.39490,1.39500,1.39380,1.39390,55
2009.06.17,23:45,1.39380,1.39440,1.39370,1.39420,66
2009.06.18,00:00,1.39430,1.39480,1.39430,1.39480,38
2009.06.18,00:15,1.39470,1.39530,1.39410,1.39420,52
2009.06.18,00:30,1.39440,1.39480,1.39390,1.39400,60
